distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_stage_kp,n_good,good_ratio
haze,3.0,3.0,-4.564046168308607,P2332,-1.725239767634717,1000,1000,870,0.87
haze,3.0,3.0,-4.564046168308607,P2352,-3.732413907995245,1000,1000,866,0.866
haze,3.0,3.0,-4.564046168308607,P2456,-4.710043851043785,1000,1000,893,0.893
haze,3.0,3.0,-4.564046168308607,P2528,-5.419063470719349,1000,1000,895,0.895
haze,3.0,3.0,-4.564046168308607,P2591,-4.736694985989264,1000,1000,892,0.892
haze,3.0,3.0,-4.564046168308607,P2613,-10.050942226844713,1000,1000,849,0.849
haze,3.0,3.0,-4.564046168308607,P2724,-2.7860666967465297,1000,1000,849,0.849
haze,3.0,3.0,-4.564046168308607,P2754,-0.6158405412213037,1000,1000,873,0.873
jpeg,1,1.0,14.156771236721948,P0063,12.880987987334985,1000,1000,218,0.218
jpeg,1,1.0,14.156771236721948,P0081,14.045896539021728,1000,1000,210,0.21
jpeg,1,1.0,14.156771236721948,P0198,13.78651676991829,1000,1000,225,0.225
jpeg,1,1.0,14.156771236721948,P0308,14.365189247537948,1000,980,54,0.05510204081632653
jpeg,1,1.0,14.156771236721948,P0336,12.941758233226404,1000,1000,256,0.256
jpeg,1,1.0,14.156771236721948,P0345,13.41815877502608,1000,1000,140,0.14
jpeg,1,1.0,14.156771236721948,P0363,13.66072662833712,1000,1000,202,0.202
jpeg,1,1.0,14.156771236721948,P0368,14.039362094042158,1000,1000,171,0.171
jpeg,1,1.0,14.156771236721948,P0377,12.71685696798297,1000,881,27,0.03064699205448354
jpeg,1,1.0,14.156771236721948,P0452,12.760745540251593,1000,1000,268,0.268
jpeg,1,1.0,14.156771236721948,P0517,11.497973429717074,1000,1000,282,0.282
jpeg,1,1.0,14.156771236721948,P0565,12.47421476731246,1000,1000,234,0.234
jpeg,1,1.0,14.156771236721948,P0649,12.948701732098604,1000,646,40,0.06191950464396285
jpeg,1,1.0,14.156771236721948,P0699,17.60623824247475,1000,1000,279,0.279
jpeg,1,1.0,14.156771236721948,P0806,15.283626590737107,1000,1000,156,0.156
jpeg,1,1.0,14.156771236721948,P1003,11.844528598254646,1000,1000,192,0.192
jpeg,1,1.0,14.156771236721948,P1029,13.125964316633125,1000,1000,208,0.208
jpeg,1,1.0,14.156771236721948,P1148,19.57404175651671,417,465,60,0.14388489208633093
jpeg,1,1.0,14.156771236721948,P1158,16.230063610418494,939,481,35,0.07276507276507277
jpeg,1,1.0,14.156771236721948,P1207,11.959796701653444,93,20,0,0.0
jpeg,1,1.0,14.156771236721948,P1216,16.511817152095663,155,4,0,0.0
jpeg,1,1.0,14.156771236721948,P1242,22.176049414095537,1000,444,6,0.013513513513513514
jpeg,1,1.0,14.156771236721948,P1358,16.8551497994027,1000,898,46,0.051224944320712694
jpeg,1,1.0,14.156771236721948,P1522,13.90998162777426,1000,701,75,0.10699001426533523
jpeg,1,1.0,14.156771236721948,P1676,12.86641705622386,536,379,2,0.005277044854881266
jpeg,1,1.0,14.156771236721948,P1693,11.87820207737743,825,386,0,0.0
jpeg,1,1.0,14.156771236721948,P1960,12.104370556866924,1000,1000,368,0.368
jpeg,1,1.0,14.156771236721948,P2002,13.980686893327704,1000,1000,319,0.319
jpeg,1,1.0,14.156771236721948,P2045,12.84029835412397,1000,1000,206,0.206
jpeg,1,1.0,14.156771236721948,P2210,17.31171540937068,1000,1000,192,0.192
jpeg,1,1.0,14.156771236721948,P2257,12.477786333566554,1000,1000,218,0.218
jpeg,1,1.0,14.156771236721948,P2278,15.47051788661064,1000,1000,176,0.176
jpeg,1,1.0,14.156771236721948,P2332,15.559262764021968,1000,1000,187,0.187
jpeg,1,1.0,14.156771236721948,P2352,14.3263736278703,1000,1000,147,0.147
jpeg,1,1.0,14.156771236721948,P2456,11.425592311697876,1000,1000,265,0.265
jpeg,1,1.0,14.156771236721948,P2528,13.82672941577516,1000,1000,306,0.306
